2023-09-20 16:43:42 status unpacked libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:42 status half-configured libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:42 status installed libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:42 configure libkrb5-3:amd64 1.20.1-2 <none>
2023-09-20 16:43:42 status unpacked libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:42 status half-configured libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:42 status installed libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:42 configure openssl:amd64 3.0.9-1 <none>
2023-09-20 16:43:42 status unpacked openssl:amd64 3.0.9-1
2023-09-20 16:43:42 status half-configured openssl:amd64 3.0.9-1
2023-09-20 16:43:42 status installed openssl:amd64 3.0.9-1
2023-09-20 16:43:42 configure readline-common:all 8.2-1.3 <none>
2023-09-20 16:43:42 status unpacked readline-common:all 8.2-1.3
2023-09-20 16:43:42 status half-configured readline-common:all 8.2-1.3
2023-09-20 16:43:42 status installed readline-common:all 8.2-1.3
2023-09-20 16:43:42 configure libreadline8:amd64 8.2-1.3 <none>
2023-09-20 16:43:42 status unpacked libreadline8:amd64 8.2-1.3
2023-09-20 16:43:42 status half-configured libreadline8:amd64 8.2-1.3
2023-09-20 16:43:42 status installed libreadline8:amd64 8.2-1.3
2023-09-20 16:43:42 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2023-09-20 16:43:42 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:42 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:42 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:42 configure ca-certificates:all 20230311 <none>
2023-09-20 16:43:42 status unpacked ca-certificates:all 20230311
2023-09-20 16:43:42 status half-configured ca-certificates:all 20230311
2023-09-20 16:43:43 status installed ca-certificates:all 20230311
2023-09-20 16:43:43 status triggers-pending ca-certificates:all 20230311
2023-09-20 16:43:43 configure libgssapi-krb5-2:amd64 1.20.1-2 <none>
2023-09-20 16:43:43 status unpacked libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:43 status half-configured libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:43 status installed libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:43 configure libcurl3-gnutls:amd64 7.88.1-10+deb12u1 <none>
2023-09-20 16:43:43 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u1
2023-09-20 16:43:43 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u1
2023-09-20 16:43:43 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u1
2023-09-20 16:43:43 configure gnupg1:amd64 1.4.23-1.1+b1 <none>
2023-09-20 16:43:43 status unpacked gnupg1:amd64 1.4.23-1.1+b1
2023-09-20 16:43:43 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2023-09-20 16:43:43 status installed gnupg1:amd64 1.4.23-1.1+b1
2023-09-20 16:43:43 trigproc libc-bin:amd64 2.36-9+deb12u1 <none>
2023-09-20 16:43:43 status half-configured libc-bin:amd64 2.36-9+deb12u1
2023-09-20 16:43:43 status installed libc-bin:amd64 2.36-9+deb12u1
2023-09-20 16:43:43 trigproc ca-certificates:all 20230311 <none>
2023-09-20 16:43:43 status half-configured ca-certificates:all 20230311
2023-09-20 16:43:43 status installed ca-certificates:all 20230311
2023-09-20 16:43:45 startup packages remove
2023-09-20 16:43:45 status installed gnupg1:amd64 1.4.23-1.1+b1
2023-09-20 16:43:45 remove gnupg1:amd64 1.4.23-1.1+b1 <none>
2023-09-20 16:43:45 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2023-09-20 16:43:45 status half-installed gnupg1:amd64 1.4.23-1.1+b1
2023-09-20 16:43:45 status config-files gnupg1:amd64 1.4.23-1.1+b1
2023-09-20 16:43:45 status not-installed gnupg1:amd64 <none>
2023-09-20 16:43:45 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u1
2023-09-20 16:43:45 remove libcurl3-gnutls:amd64 7.88.1-10+deb12u1 <none>
2023-09-20 16:43:45 status triggers-pending libc-bin:amd64 2.36-9+deb12u1
2023-09-20 16:43:45 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u1
2023-09-20 16:43:45 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u1
2023-09-20 16:43:45 status config-files libcurl3-gnutls:amd64 7.88.1-10+deb12u1
2023-09-20 16:43:45 status not-installed libcurl3-gnutls:amd64 <none>
2023-09-20 16:43:45 status installed libbrotli1:amd64 1.0.9-2+b6
2023-09-20 16:43:45 remove libbrotli1:amd64 1.0.9-2+b6 <none>
2023-09-20 16:43:45 status half-configured libbrotli1:amd64 1.0.9-2+b6
2023-09-20 16:43:45 status half-installed libbrotli1:amd64 1.0.9-2+b6
2023-09-20 16:43:45 status config-files libbrotli1:amd64 1.0.9-2+b6
2023-09-20 16:43:45 status not-installed libbrotli1:amd64 <none>
2023-09-20 16:43:45 status installed libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:45 remove libgssapi-krb5-2:amd64 1.20.1-2 <none>
2023-09-20 16:43:45 status half-configured libgssapi-krb5-2:amd64 1.20.1-2
